13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4
8	10	0	0	0	0	0	0	0	11	11	11	0	0	0	0	0	0	10	4
8	11	0	0	0	0	0	0	10	11	0	11	10	0	0	0	0	0	11	4
8	0	0	0	0	0	0	11	11	0	0	0	11	11	0	0	0	0	0	4
8	11	0	0	0	0	10	11	11	0	0	0	11	11	10	0	0	0	11	4
8	0	0	0	0	0	0	11	11	0	0	0	11	11	0	0	0	0	0	4
8	11	0	0	0	0	0	0	10	11	0	11	10	0	0	0	0	0	11	4
8	10	0	0	0	0	0	0	0	11	11	11	0	0	0	0	0	0	10	4
8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4
7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5
